Student ID,Lab 1,Lab 2,Lab 3,Lab 4,Lab 5,Lab 6,Lab 7,Lab 8,Lab 9,Lab 10,Average Grade,Labs Completed
55898988,100.0,100.0,100.0,90.0,100.0,100.0,90.0,100.0,100.0,93.0,97.3,10
60042038,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,100.0,57.0,94.7,10
76615032,100.0,94.0,100.0,37.0,86.0,70.0,44.0,42.0,68.0,29.0,67.0,10
49152359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
27228934,100.0,100.0,67.0,100.0,82.0,56.0,100.0,100.0,100.0,100.0,90.5,10
13969648,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10
87868419,100.0,100.0,100.0,100.0,100.0,100.0,28.0,78.0,25.0,84.0,81.5,10
82478159,75.0,61.0,95.0,69.0,62.0,83.0,96.0,74.0,28.0,93.0,73.6,10
87937302,100.0,86.0,100.0,90.0,100.0,89.0,76.0,100.0,0.0,43.0,78.4,9
93258021,100.0,100.0,100.0,50.0,87.0,100.0,84.0,42.0,0.0,100.0,76.3,9
57357102,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10
13912660,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10
49940417,100.0,99.0,100.0,83.0,63.0,77.0,40.0,15.0,80.0,99.0,75.6,10
68661280,0.0,93.0,100.0,88.0,80.0,100.0,32.0,72.0,100.0,0.0,66.5,8
54081596,100.0,100.0,100.0,100.0,82.0,100.0,97.0,100.0,100.0,100.0,97.9,10
81124900,100.0,69.0,100.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,36.0,5
15748697,100.0,45.0,72.0,51.0,19.0,44.0,26.0,37.0,0.0,51.0,44.5,9
14056233,100.0,80.0,100.0,100.0,45.0,62.0,28.0,60.0,0.0,89.0,66.4,9
86849692,100.0,70.0,68.0,85.0,57.0,67.0,16.0,0.0,0.0,43.0,50.6,8
12172696,38.0,98.0,77.0,79.0,88.0,100.0,92.0,100.0,100.0,100.0,87.2,10
84637902,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10
51931289,100.0,100.0,100.0,100.0,96.0,93.0,100.0,90.0,100.0,100.0,97.9,10
73949620,90.0,0.0,100.0,0.0,9.0,12.0,15.0,0.0,18.0,0.0,24.4,6
46247807,100.0,40.0,56.0,60.0,0.0,0.0,1.0,55.0,0.0,57.0,36.9,7
83442693,50.0,0.0,89.0,0.0,0.0,0.0,25.0,47.0,0.0,0.0,21.1,4
54093626,98.0,100.0,78.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.6,10
47555228,61.0,30.0,44.0,52.0,38.0,20.0,0.0,66.0,0.0,77.0,38.8,8
12883876,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,43.0,94.3,10
13606343,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,90.0,9
80690307,100.0,67.0,33.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,4
47343059,100.0,90.0,56.0,89.0,100.0,69.0,66.0,70.0,0.0,100.0,74.0,9
32079179,75.0,100.0,100.0,100.0,100.0,100.0,50.0,100.0,0.0,100.0,82.5,9
45468572,0.0,0.0,0.0,70.0,55.0,56.0,56.0,70.0,100.0,43.0,45.0,7
28152410,100.0,63.0,67.0,85.0,69.0,83.0,63.0,63.0,40.0,99.0,73.2,10
