Student ID,average_score,assessments_completed,performance_trend,risk_score,progress_in_semester
62114010,77.33,6,-38.0,55.0,0.6
62686607,65.67,5,-3.0,132.0,0.6
62841925,100.0,6,0.0,45.0,0.6
62845749,78.17,6,-10.33,119.0,0.6
62846607,76.67,6,-46.67,41.0,0.6
62912601,72.67,6,-25.33,52.0,0.6
63012496,97.5,6,2.33,56.0,0.6
63066927,43.0,5,16.0,123.0,0.6
63281671,80.17,6,-26.33,112.0,0.6
63284343,100.0,6,0.0,55.0,0.6
63302115,100.0,6,0.0,43.0,0.6
63573517,76.5,6,-47.0,124.0,0.6
63681096,98.17,6,-3.67,103.0,0.6
63767996,82.0,6,-4.0,52.0,0.6
63873490,71.0,6,1.33,125.0,0.6
63958316,98.17,6,-3.67,33.0,0.6
64143261,16.67,1,0.0,102.0,0.6
64198576,99.0,6,-2.0,102.0,0.6
64280419,81.17,6,-33.67,30.0,0.6
64371535,79.17,5,-12.5,105.0,0.6
64729486,100.0,6,0.0,33.0,0.6
64945179,22.17,3,-5.0,101.0,0.6
64992499,0.0,0,0.0,140.0,0.6
65061850,100.0,6,0.0,24.0,0.6
65118069,97.83,6,4.33,105.0,0.6
65157349,74.83,6,-9.0,110.0,0.6
65312480,66.67,4,0.0,47.0,0.6
65786686,91.67,6,-16.67,127.0,0.6
65818849,48.5,6,-11.67,57.0,0.6
65970573,100.0,6,0.0,112.0,0.6
66088281,100.0,6,0.0,124.0,0.6
66286017,98.5,6,-3.0,127.0,0.6
66460544,98.0,6,-4.0,35.0,0.6
66510180,85.83,6,3.0,115.0,0.6
66548948,90.33,6,-16.67,22.0,0.6
66626083,99.33,6,-1.33,56.0,0.6
66867809,88.83,6,-15.67,116.0,0.6
66914268,89.83,6,-18.33,102.0,0.6
67160908,100.0,6,0.0,17.0,0.6
67170149,85.17,6,-18.33,51.0,0.6
67262233,77.67,5,-17.0,110.0,0.6
67299557,86.5,6,-2.33,55.0,0.6
67528806,98.67,6,-2.67,50.0,0.6
68004068,24.33,3,-25.0,134.0,0.6
68205776,89.83,6,-7.67,127.0,0.6
