Student ID,TOTAL,Lab 1,Lab 2 ,Lab 3,Lab 4,Lab 5,Lab 6,Lab 7,Lab 8,Lab 9,Lab 10
c0dff3c4ed966264,74.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.0,100.0,100.0
c209c281569c4991,60.10811905,100.0,100.0,81.42857143,86.0,84.8,100.0,65.0,66.66666667,100.0,66.66666667
bb9d2fc37c832ecc,13.37095238,100.0,100.0,71.42857143,76.0,92.0,97.33333333,75.0,0.0,80.0,33.33333333
ab82718c4f2388a3,36.68628571,100.0,91.33333333,75.42857143,69.2,88.8,100.0,60.25,55.16666667,58.2,59.0
97a454b0a65223e1,21.27357143,96.0,66.66666667,52.85714286,79.6,32.0,48.66666667,61.25,40.83333333,66.4,73.33333333
5251f33e485e0c1e,18.41219048,100.0,82.5,24.28571429,62.0,33.6,100.0,43.25,56.33333333,0.0,0.0
9a393aedd6599712,70.36666667,100.0,100.0,100.0,100.0,100.0,100.0,64.5,82.66666667,100.0,100.0
f0a90490dd60a0aa,41.875,100.0,100.0,65.0,73.6,100.0,100.0,85.25,0.0,100.0,36.0
2e98bdade7580851,41.85311905,100.0,100.0,11.42857143,63.6,95.2,100.0,75.0,48.83333333,100.0,0.0
179a345ab1e810e1,35.91561905,94.0,100.0,91.42857143,62.0,65.6,33.33333333,25.0,41.66666667,88.2,61.33333333
80e4f5f7ab45ddb4,29.77166667,100.0,100.0,100.0,100.0,100.0,100.0,100.0,71.16666667,100.0,100.0
8bc6a84d741ed4d1,67.72964286,100.0,100.0,85.71428571,86.0,100.0,100.0,80.0,73.0,100.0,59.0
76ea16313027ddb1,61.14059524,100.0,100.0,77.14285714,100.0,100.0,100.0,87.5,72.66666667,100.0,100.0
