Student ID,EXAM %,Lab 1,Lab 2,Lab 3,Lab 4,Lab 5,Lab 6,Lab 7,Lab 8,Lab 9,Lab 10
35012345,40.0,4.0,3.76,4.0,2.16,2.2,2.72,1.84,3.4,1.12,3.16
61864916,48.0,4.0,4.0,4.0,4.0,2.76,4.0,3.28,0.0,0.0,2.64
91713482,0.0,4.0,2.76,4.0,3.6,0.0,0.0,0.0,0.04,0.0,0.0
94275844,10.0,4.0,1.6,2.24,2.4,0.0,0.0,0.04,2.2,0.0,2.28
18622841,53.0,4.0,4.0,4.0,4.0,3.84,3.72,4.0,3.6,4.0,4.0
16512856,35.0,4.0,4.0,4.0,2.24,2.52,4.0,0.36,3.04,3.2,4.0
16632344,52.0,4.0,3.48,3.92,3.8,0.96,3.12,0.4,2.2,3.6,3.52
67030041,67.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
28015313,54.0,4.0,4.0,4.0,4.0,3.68,3.76,3.4,3.16,0.0,3.96
75585188,68.0,4.0,4.0,4.0,4.0,4.0,4.0,1.12,3.12,1.0,3.36
38608482,40.0,2.0,2.24,0.0,1.16,2.6,3.32,3.04,2.52,0.0,3.44
60622233,15.0,3.0,3.2,2.24,1.6,3.0,4.0,3.32,3.52,2.6,1.72
51103150,22.0,0.0,4.0,2.92,2.72,2.68,0.0,2.68,0.0,0.0,0.0
82992234,57.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
73253322,46.0,4.0,2.8,2.72,3.4,2.28,2.68,0.64,0.0,0.0,1.72
96322351,69.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
16075227,28.0,4.0,3.2,4.0,3.2,3.28,2.96,2.16,3.8,1.6,1.72
91777698,90.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
54170180,27.0,2.0,4.0,4.0,3.72,2.44,2.92,1.0,2.36,2.0,2.92
32662623,55.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.8,4.0
12297298,40.0,1.32,1.92,3.88,0.36,2.68,2.68,2.16,4.0,4.0,4.0
65891091,78.0,4.0,4.0,3.84,2.56,3.28,4.0,0.8,2.4,0.0,0.0
64750841,50.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
34246468,35.0,4.0,4.0,4.0,2.92,3.24,0.0,1.76,1.92,0.0,0.0
63751733,63.0,4.0,4.0,2.68,4.0,3.28,2.24,4.0,4.0,4.0,4.0
44311031,75.0,4.0,3.84,4.0,3.0,3.32,3.08,2.44,4.0,4.0,4.0
26768543,19.0,4.0,4.0,3.56,2.84,2.44,2.24,2.48,3.52,0.0,0.0
86992665,70.0,4.0,4.0,4.0,4.0,4.0,4.0,3.56,4.0,4.0,4.0
23160832,86.0,4.0,4.0,4.0,3.2,4.0,4.0,3.6,4.0,4.0,3.44
54294715,25.0,4.0,4.0,4.0,3.8,3.64,2.04,2.88,3.2,1.72,0.0
43657214,78.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
36392702,17.0,2.52,4.0,4.0,2.56,2.0,3.12,1.4,3.12,2.6,3.88
95768495,83.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.72
60958848,66.0,4.0,4.0,4.0,4.0,3.88,4.0,4.0,3.2,4.0,4.0
87003745,5.0,4.0,1.6,2.28,1.2,1.08,0.0,0.0,0.0,0.0,0.0
71985268,38.0,4.0,4.0,3.88,4.0,3.8,4.0,3.0,3.8,4.0,4.0
35752834,45.0,3.92,3.04,2.84,3.08,2.64,1.76,1.48,2.28,0.0,2.28
22979091,58.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.6,4.0,4.0
39235144,18.0,4.0,4.0,4.0,4.0,3.08,4.0,2.84,4.0,0.72,3.72
48447995,42.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0
80771029,16.0,4.0,4.0,4.0,2.72,2.64,3.56,1.0,3.92,3.72,4.0
75698822,0.0,4.0,4.0,4.0,3.6,0.0,1.12,0.0,0.0,0.0,0.0
38635299,46.0,4.0,4.0,3.56,0.0,3.08,2.56,3.04,4.0,3.4,0.0
46207116,48.0,4.0,3.88,2.56,3.8,4.0,4.0,3.92,4.0,4.0,4.0
84530712,43.0,4.0,2.64,3.44,3.16,1.48,1.44,1.72,2.64,1.44,1.4
92911584,0.0,4.0,4.0,3.36,3.96,3.52,3.04,2.56,3.52,3.2,0.0
32401273,0.0,4.0,2.68,1.32,3.6,0.0,0.0,0.0,0.0,0.0,0.0
57080293,17.0,3.52,4.0,2.68,2.8,2.2,3.56,3.4,4.0,3.4,4.0
38501597,15.0,1.52,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53862285,29.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
22160502,53.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0
78198844,8.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
88671600,0.0,4.0,4.0,4.0,2.0,3.48,4.0,3.36,1.68,0.0,4.0
98610960,6.0,2.0,0.0,2.84,1.0,0.0,0.0,0.0,0.0,0.0,0.0
94484673,31.0,4.0,3.6,4.0,3.2,4.0,2.24,4.0,4.0,4.0,4.0
36765054,29.0,2.52,1.6,4.0,2.76,0.72,0.0,0.0,0.0,0.0,0.0
50012488,70.0,4.0,4.0,4.0,3.6,3.0,3.04,1.92,3.4,4.0,3.6
29461485,55.0,4.0,4.0,4.0,4.0,4.0,3.56,4.0,4.0,4.0,4.0
15903250,19.0,3.6,4.0,2.24,4.0,4.0,2.24,4.0,4.0,2.4,4.0
68765510,20.0,4.0,4.0,4.0,4.0,2.92,4.0,0.4,4.0,4.0,0.0
83531599,53.0,4.0,3.88,4.0,4.0,3.76,3.72,3.6,3.8,3.0,4.0
61723428,43.0,4.0,4.0,3.24,4.0,4.0,4.0,4.0,4.0,4.0,0.0
96328232,26.0,4.0,3.48,4.0,3.04,2.84,3.88,0.8,0.8,0.0,0.0
69920355,10.0,4.0,3.84,4.0,3.6,1.44,3.56,0.0,0.0,0.0,1.72
38315304,47.0,3.76,2.64,2.32,1.88,3.08,3.84,1.76,2.6,0.0,3.2
93959828,60.0,4.0,3.96,4.0,3.32,2.52,3.08,1.6,0.6,3.2,3.96
71285874,46.0,0.0,0.0,0.0,0.0,1.8,2.68,2.44,4.0,4.0,4.0
11869975,62.0,4.0,4.0,4.0,4.0,3.64,4.0,3.72,4.0,4.0,3.32
41064606,63.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
90845622,11.0,3.52,1.6,2.16,2.4,0.72,1.92,1.24,2.48,0.0,1.36
11421783,42.0,4.0,4.0,4.0,4.0,3.52,4.0,4.0,4.0,4.0,4.0
57013617,46.0,0.0,4.0,4.0,1.6,0.72,1.76,3.4,3.96,2.4,4.0
45083041,19.0,2.08,2.04,2.16,1.56,3.28,2.0,1.88,3.08,1.4,2.0
57751474,11.0,3.8,0.0,1.76,1.12,1.72,2.24,1.68,2.2,1.72,3.2
67116256,60.0,4.0,4.0,4.0,2.0,4.0,4.0,3.92,2.8,0.0,4.0
88011459,41.0,3.0,3.2,4.0,3.12,3.12,2.68,1.16,0.72,1.0,0.0
42442702,34.0,4.0,3.8,4.0,3.52,3.4,3.48,2.4,3.28,2.32,1.36
75872588,5.0,4.0,2.8,4.0,1.6,2.56,0.88,0.0,2.6,0.0,0.0
60380664,43.0,4.0,4.0,4.0,4.0,4.0,3.44,2.4,4.0,3.0,3.44
84983355,53.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.68
