Student ID,module_code,TOTAL,assessment_number,score,progress_in_semester
73618759,CS161,61.99383333,2,100.0,0.2
29219341,CS161,78.922,2,100.0,0.2
20534390,CS161,34.59828571,2,100.0,0.2
19758663,CS161,68.479,2,100.0,0.2
86657420,CS161,59.51166667,2,100.0,0.2
59981065,CS161,67.895,2,100.0,0.2
35228724,CS161,15.59252381,2,100.0,0.2
93786510,CS161,8.9065,2,39.33333333,0.2
14700855,CS161,61.09628571,2,100.0,0.2
41238410,CS161,22.28666667,2,100.0,0.2
84073928,CS161,77.92857143,2,100.0,0.2
58041923,CS161,15.75295238,2,100.0,0.2
20203060,CS161,35.19535714,2,100.0,0.2
34836465,CS161,73.465,2,100.0,0.2
57558661,CS161,70.18809524,2,100.0,0.2
40745362,CS161,52.4225,2,100.0,0.2
79821067,CS161,34.10516667,2,100.0,0.2
68912516,CS161,73.73745238,2,100.0,0.2
16650465,CS161,42.55892857,2,100.0,0.2
25624838,CS161,50.69833333,2,100.0,0.2
28851363,CS161,68.37,2,100.0,0.2
14859968,CS161,12.45019048,2,48.0,0.2
34435608,CS161,3.085,2,50.0,0.2
53522318,CS161,36.94657143,2,71.66666667,0.2
89517857,CS161,21.76980952,2,93.33333333,0.2
31044070,CS161,45.74916667,2,100.0,0.2
67581864,CS161,18.71940476,2,100.0,0.2
32712383,CS161,39.27480952,2,100.0,0.2
46149948,CS161,60.5337619,2,100.0,0.2
33025706,CS161,32.97933333,2,88.5,0.2
37615874,CS161,40.16947619,2,100.0,0.2
30245378,CS161,59.95697619,2,98.0,0.2
65519433,CS161,57.10583333,2,100.0,0.2
68533762,CS161,64.56083333,2,100.0,0.2
46089625,CS161,23.63690476,2,100.0,0.2
99911171,CS161,0.0,2,0.0,0.2
31288217,CS161,58.06428571,2,100.0,0.2
95770014,CS161,3.322666667,2,64.66666667,0.2
36207660,CS161,64.371,2,100.0,0.2
96792723,CS161,53.9562619,2,100.0,0.2
44415509,CS161,53.15130952,2,100.0,0.2
39591036,CS161,1.0,2,0.0,0.2
32634975,CS161,14.71945238,2,85.0,0.2
99355503,CS161,8.403952381,2,100.0,0.2
98524573,CS161,29.55604762,2,100.0,0.2
83982103,CS161,13.25095238,2,47.5,0.2
32534085,CS161,30.69311905,2,98.33333333,0.2
22069035,CS161,57.96580952,2,99.16666667,0.2
71745365,CS161,9.397738095,2,84.66666667,0.2
54179437,CS161,45.41635714,2,100.0,0.2
63660864,CS161,70.03047619,2,100.0,0.2
96398572,CS161,38.42464286,2,100.0,0.2
43867886,CS161,41.49083333,2,100.0,0.2
31655246,CS161,23.28845238,2,100.0,0.2
60401339,CS161,21.46378571,2,100.0,0.2
18237587,CS161,34.063,2,95.0,0.2
71897140,CS161,21.8025,2,100.0,0.2
26550709,CS161,50.71219048,2,100.0,0.2
84693627,CS161,40.29733333,2,0.0,0.2
69974518,CS161,46.53469048,2,100.0,0.2
73630812,CS161,48.73530952,2,100.0,0.2
13434594,CS161,43.58864286,2,100.0,0.2
77494200,CS161,9.459333333,2,64.66666667,0.2
85952204,CS161,26.81014286,2,100.0,0.2
25199098,CS161,50.42611905,2,100.0,0.2
70210436,CS161,30.57814286,2,100.0,0.2
51597404,CS161,84.8575,2,100.0,0.2
19516358,CS161,82.63166667,2,100.0,0.2
41437101,CS161,68.5,2,100.0,0.2
95575949,CS161,41.95990476,2,100.0,0.2
